,claim,label,justification,claim_date,speaker,reporting_source,location_ISO_code
2033,Number one reason for why American families go broke is the cost of healthcare,Conflicting Evidence/Cherrypicking,"Q7A 1 shows that contrary to what is claimed medical factors play a much smaller role in causing U.S. bankruptcies than has previously been claimed
Q&A 2 is also contrary to the claim showing that evidence on medical bankruptcy is built on the fallacy that when two things occur together there is necessarily a causal relationship between them. along with Q&A's 4 also not agreeing with the claim
However Q&A 5 shows that 60 percent of bankruptcies are linked to medical bills which conflicts with the other Q&A's so this is problematic for judging the claim.
",2019-06-27,Elizabeth Warren,,US
2034,"The CEO of McDonald's makes 2,100 times more than ""the people slinging hash"" at McDonald's",Refuted,"The CEO of McDonald's makes  $21.8million as at 2017, which is not  2,100 times more than ""the people slinging hash"" at McDonald's. ",2019-06-27,Jay Inslee,,US
2035,Rep. Tim Ryan of Ohio said: “The bottom 60 percent of Americans haven’t seen a raise since 1980.”,Refuted,The source material contains more content but overall it refutes the claim. Answer may be cherrypicked.,2019-06-26,,,
2036,"The reason that they are separating these little children from their families is that they are using Section 1325 of that act, which criminalizes coming across the border to incarcerate the parents and then separate them. Some of us on this stage have called to end that section, to terminate it, some like Congressman O’Rourke have not.",Supported,"Evidence shows section 1325 criminalises crossing the border, and that O'Rourke opposed appealing it, but the claim is worded badly and is a copied quote. ",2019-06-26,JULIAN CASTRO,NEW YORK TIMES,US
2037,The US-Iran nuclear deal pushed back a nuclear breakout by 10–20 years.,Conflicting Evidence/Cherrypicking,"It seems that a nuclear breakout is a bit big of a statement, therefore the evidence is conflicting. From the 3rd QA it is evident that the deal is in place to prevent Iran from chaning middle eastern politics. Therefore the label is conflicting evidence",2019-06-26,Cory Booker,NBC,US
2038,"In states like Connecticut that enacted a permit-to-purchase gun law, they saw 40 percent drops in gun violence and 15 percent drops in suicides.",Not Enough Evidence,"There is a sufficient evidence supporting the 15 percent drops in suicides in states Connecticut, but none for 40 percent drops in gun violence. ",2019-06-26,Cory Booker,,US
2039,"""The wealthiest three families now own more wealth than the bottom half of the country.""",Supported,The answers and source show that they do own more money combined so the claim is supported.,2019-06-26,Bernie Sanders,Wall street Journal,US
2040,"Sen Cory Booker said when Connecticut enacted a permit-to-purchase gun law, “they saw 40 percent drops in gun violence and 15 percent drops in suicides.”",Supported,"The evidence supports the fact that once Connecticut enacted a permit-to-purchase gun law, there was a 40 percent drop in gun violence and a 15 percent drop in suicides. Hence, the claim is supported.",2019-06-26,,,
2041,About 30% of LGBTQ kids do not go to school because of fear.,Conflicting Evidence/Cherrypicking,The 6th and 7th Q&A show conflicting evidence. One says 12.5% and one says 35% so the claim has conflicting evidence. Lots of the results are also unrelated to the claim.,2019-06-26,Cory Booker,,US
2042,"Sen. Cory Booker claimed the Iran nuclear deal “pushed back a nuclear breakout 10, 20 years.” during the 2020 U.S presidential debate",Conflicting Evidence/Cherrypicking,There is no information as the when the Iran nuclear deal was made. There are conflicting answers regarding the impact. ,2019-06-26,,,
2043,"Sen. Cory Booker claimed private insurance overhead was 15 percent, while Medicare’s was “only at 2 percent.”",Conflicting Evidence/Cherrypicking,"Q&A 4 states that the claim was made by the person as claimed in the claim, 
Q&A 1 states that Medicare's overhead is only 1.3% not 2 as claimed, (0.7%diffrence)
Q&A 3 shows that actually The definitions are incompatible and not reconcilable between the systems. so comparing Medicares overhead cost  to private health cares in this way is incorrect, with Q&A 3 listing good points why these figures are incompatible in the way claim shows.
",2019-06-26,,,
2044,Purdue Pharma has been able to act with complete impunity and pay no consequences for the opioid crisis. Not a single night in jail.,Refuted,Purdue Pharma has indeed faced consequences for the opioid crisis. ,2019-06-26,Beto O'Rourke,,US
2045,"Despite what Purdue Pharma has done; their connection to the opioid crisis and the overdose deaths throughout the United States, as of 26/06/2019 they have been able to act with complete impunity and pay no consequences.",Refuted,"They have been punished as a consequence of court findings involving fines, probation and community service for employees.",2019-06-26,BETO O’ROURKE,NEW YORK TIMES,US
2046,The bottom 60 percent of US employees haven’t seen a wage raise since 1980.,Not Enough Evidence,Nothing points towards the fact that 60 percent of Us employees haven't seen a wage since 1980,2019-06-26,Tim Ryan,NBC,US
2047,"Kenyan Singer Ringtone Apoko found dead in a waste bin in Karen, Kenya.",Refuted,"The person who is cliamed to have died on 25th of June 2019 has been reported seen after that date, Q&A state reports are that the person is alive.",2019-06-25,Achilles Gombya,Facebook,KE
2048,A group of 15-20 miscreants are on the loose in parts of Malad and Dahisar and asks residents not to open their doors at night if they hear a baby crying outside.,Refuted,The 2nd Q&A pair states that the Dahisar police named in the claim in fact made a statement saying the claim is fake and no such events have taken place.,2019-06-24,Pooja Mehta,Facebook,IN
2049,Former Kenyan election commissioner Roselyn Akombe has died.,Refuted,The answer shows that the commissioner had not died and was fake news so the claim is refuted.,2019-06-24,Kate Mwikali,Kenya-Report,KE
2050,More Americans are uninsured today than when US President Donald Trump took office.,Supported,From January 2028 there was reports on more Americans becoming uninsured ,2019-06-24,U.S. Senator Tammy Baldwin,Twitter,US
2051,Russia is not using illegitimate sanctions against Georgia.,Refuted,the russian santions against georgia are not legal and authroised. ,2019-06-24,Dmitry Peskov Russian presidential spokesman,Tass,RU
2052,Ninety percent of the people applying for asylum never show up for their immigration court hearing in the months ahead.,Refuted,data shows 96% of asylum seeker show up for their court hearings. ,2019-06-23,Mike Pence,CNN,US
2053,The UN recommends a police-population ratio of one police officer to 220 people,Not Enough Evidence,"Without more information about where this claim was initiated and a question posed as to what is the ideal the ratio of people to policemen, it is not possible to verify this claim.",2019-06-23,Bheki Cele,,ZA
2054,Russia violated South Korean airspace,Not Enough Evidence,"Q1 is too vague and ""opinions"" aren't facts. I'm not sure that Japan could be considered a ""neutral country"".
Q2 A question about  air defence identification zones would have been better but even then the question doesn't specifically address the claim.",2019-06-22,Laura Bicker,BBC,KR
2055,Russian Mercenaries in Syria are Private Contractors and They Are Not Engaged in Combat,Refuted,Evidence provided that Russian mercenaries are strongly linked to Russian state and that they are engaged in combat in Syria - this counters both claims.,2019-06-20,Vladimir Putin,Kremlin official website,RU
2056,A bridge that collapsed on the Jamnagar-Junagadh highway was only inaugurated three months before its collapse.,Refuted,The answers and source clearly show that the bridge was older than 3 months old so the claim is refuted.,2019-06-20,Indian National Congress,Facebook page,IN
2057,"The Jamnagar Junagarh Highway bridge that collapsed, was inaugurated by PM Modi.",Refuted,The bridge was constructed prior to Modi becoming pm. ,2019-06-20,West Bengal Congress,Twitter,IN
2058,Jamnagar-Junagarh highway bridge in India collapsed within 3 months of inauguration.,Refuted,"The Q&As show that the claim is incorrect, the evidence shows that the bridge did not collapse within 3 months of inauguration. ",2019-06-20,Indian National Congress - West Bengal,Facebook,IN
2059,Muslims in Bangalore have named a mosque after Indian Prime Minister Narendra Modi.,Refuted,There are mosques with the name Modi but they are not named after the Prime minister but an historic figure.,2019-06-19,Mahesh10816,Twitter,IN
2060,"Founding father of the United States, Patrick Henry said, “It cannot be emphasized too strongly or too often that this great nation was founded, not by religionists, but by Christians; not on religions, but on the gospel of Jesus Christ. For this very reason peoples of other faiths have been afforded asylum, prosperity, and freedom of worship here.”",Refuted,"Patrick Henry is not the founding father of the United States and also did not state the claims quote - it actually comes from The Virginian, April 1956, Vol. II No. 3.",2019-06-19, Patrick Henry,Facebook,US
2061,Margaret Hello was phone inventor Alexander Graham Bell’s girlfriend,Refuted,There are no QA that would indicate that Margaret Hello was bell's girlfriend. The 3rd QA says that there is not answer. Therefore the claim is refuted,2019-06-19,,Facebook,NG
